id,src,dst,hop_count,path
21,node1_3,node0_0,3,node1_3->sw_1->sw_0->node0_0
22,node5_3,node1_0,4,node5_3->sw_5->sw_0->sw_1->node1_0
23,node2_3,node0_2,4,node2_3->sw_2->sw_1->sw_0->node0_2
24,node2_1,node2_2,2,node2_1->sw_2->node2_2
25,node4_0,node2_2,4,node4_0->sw_4->sw_3->sw_2->node2_2
26,node1_3,node0_0,3,node1_3->sw_1->sw_0->node0_0
27,node4_0,node0_0,4,node4_0->sw_4->sw_5->sw_0->node0_0
28,node1_3,node1_0,2,node1_3->sw_1->node1_0
29,node5_2,node1_1,4,node5_2->sw_5->sw_0->sw_1->node1_1
30,node4_0,node1_2,5,node4_0->sw_4->sw_5->sw_0->sw_1->node1_2
31,node4_0,node0_0,4,node4_0->sw_4->sw_5->sw_0->node0_0
32,node2_1,node1_1,3,node2_1->sw_2->sw_1->node1_1
33,node5_3,node2_2,5,node5_3->sw_5->sw_0->sw_1->sw_2->node2_2
34,node5_0,node1_1,4,node5_0->sw_5->sw_0->sw_1->node1_1
35,node4_3,node4_1,2,node4_3->sw_4->node4_1
36,node4_0,node0_2,4,node4_0->sw_4->sw_5->sw_0->node0_2
37,node1_3,node1_1,2,node1_3->sw_1->node1_1
38,node1_3,node0_2,3,node1_3->sw_1->sw_0->node0_2
39,node4_3,node4_1,2,node4_3->sw_4->node4_1
40,node2_1,node1_2,3,node2_1->sw_2->sw_1->node1_2
